value,time
15.21,340
15.15,341
14.82,342
14.03,343
14.06,344
15.35,345
16.12,346
16.97,347
16.86,348
17.88,349
19.17,350
17.79,351
16.19,352
16.07,353
16.52,354
16.21,355
17.38,356
16.63,357
16.05,358
15.86,359
14.52,360
14.98,361
13.61,362
12.75,363
12.39,364
12.38,365
12.85,366
11.77,367
10.6,368
9.13,369
9.24,370
9.08,371
9.94,372
8.99,373
8.11,374
8.03,375
8.21,376
8.17,377
7.93,378
7.51,379
7.8,380
8.76,381
8.68,382
8.66,383
10.38,384
9.66,385
9.37,386
10.44,387
8.9,388
9.74,389
9.18,390
9.57,391
9.66,392
8.69,393
9.69,394
10.23,395
10.45,396
9.15,397
8.8,398
8.04,399
7.83,400
8.91,401
10.34,402
10.33,403
11.29,404
11.37,405
12.91,406
13.55,407
14.02,408
13.72,409
11.95,410
9.27,411
9.59,412
9.86,413
8.57,414
9.73,415
10.8,416
12.65,417
11.85,418
11.18,419
11.82,420
12.52,421
12.45,422
12.61,423
13.23,424
14.21,425
15.12,426
16.63,427
16.35,428
15.5,429
15.39,430
15.76,431
14.96,432
15.37,433
16.99,434
18.21,435
17.51,436
17.85,437
17.5,438
18.03,439
19.01,440
18.29,441
18.63,442
18.47,443
18.61,444
19.36,445
19.4,446
20.06,447
20.79,448
20.99,449
19.11,450
19.59,451
19.7,452
21.76,453
21.81,454
21.86,455
23.74,456
23.23,457
21.78,458
23.49,459
23.75,460
22.42,461
21.56,462
21.44,463
20.68,464
22.12,465
20.11,466
18.56,467
18.47,468
19.19,469
20.35,470
19.66,471
19.61,472
18.13,473
17.67,474
15.26,475
16.8,476
17.3,477
16.87,478
17.17,479
16.27,480
13.86,481
14.42,482
14.44,483
14.48,484
13.27,485
13.46,486
14.61,487
15.53,488
15.77,489
16.93,490
18.05,491
19.38,492
18.48,493
18.96,494
18.32,495
16.86,496
18.57,497
18.23,498
18.31,499
17.57,500
19.38,501
18.25,502
17.85,503
19.56,504
18.46,505
19.59,506
18.27,507
16.92,508
15.12,509
14.41,510
14.95,511
15.42,512
15.72,513
15.0,514
15.26,515
13.7,516
12.81,517
12.88,518
13.63,519
15.02,520
14.23,521
15.68,522
15.91,523
14.36,524
14.51,525
13.46,526
13.43,527
13.47,528
13.85,529
15.38,530
15.56,531
13.6,532
13.44,533
13.23,534
13.42,535
13.65,536
12.53,537
12.39,538
11.37,539
12.31,540
10.99,541
11.22,542
10.42,543
11.67,544
12.0,545
11.7,546
10.86,547
11.17,548
9.53,549
8.78,550
8.99,551
9.64,552
9.97,553
10.56,554
9.72,555
11.03,556
10.54,557
11.76,558
12.63,559
12.3,560
10.23,561
8.94,562
9.32,563
9.6,564
9.34,565
9.92,566
8.82,567
9.44,568
9.99,569
10.97,570
9.98,571
10.81,572
10.73,573
11.22,574
11.49,575
11.35,576
12.41,577
13.83,578
14.5,579
14.32,580
14.79,581
16.62,582
15.64,583
15.82,584
14.12,585
14.91,586
14.15,587
15.46,588
15.96,589
15.29,590
15.75,591
17.06,592
17.25,593
15.9,594
17.31,595
17.67,596
18.02,597
19.06,598
20.15,599
21.48,600
21.32,601
21.52,602
21.83,603
23.73,604
24.75,605
24.44,606
22.87,607
24.6,608
25.43,609
25.75,610
26.76,611
26.32,612
26.91,613
27.59,614
26.45,615
27.04,616
28.73,617
28.69,618
28.27,619
29.0,620
29.55,621
27.98,622
28.86,623
28.63,624
30.04,625
30.17,626
31.38,627
30.94,628
29.9,629
29.01,630
30.0,631
29.25,632
27.14,633
27.96,634
28.38,635
28.65,636
30.5,637
31.72,638
32.26,639
32.37,640
32.82,641
34.9,642
35.45,643
35.03,644
33.72,645
33.19,646
31.67,647
31.03,648
30.72,649
32.02,650
32.04,651
33.66,652
33.92,653
32.14,654
30.47,655
30.87,656
31.54,657
31.76,658
32.56,659
33.69,660
33.24,661
35.0,662
32.68,663
31.89,664
33.69,665
33.72,666
34.06,667
35.32,668
33.33,669
31.73,670
31.88,671
32.48,672
33.58,673
33.97,674
32.63,675
32.5,676
31.39,677
30.53,678
30.74,679
31.28,680
32.34,681
32.01,682
34.07,683
35.29,684
35.3,685
36.77,686
35.97,687
35.41,688
36.59,689
20.4,690
35.51,691
36.16,692
35.88,693
36.57,694
38.43,695
39.17,696
39.08,697
38.76,698
38.5,699
38.02,700
36.39,701
36.21,702
38.86,703
37.32,704
37.45,705
38.1,706
38.11,707
37.33,708
36.42,709
36.77,710
37.38,711
37.22,712
38.52,713
38.38,714
37.12,715
37.11,716
38.68,717
38.67,718
41.91,719
40.98,720
39.77,721
37.67,722
37.97,723
38.9,724
38.67,725
37.58,726
38.11,727
38.17,728
38.68,729
39.29,730
39.68,731
39.33,732
38.71,733
38.36,734
37.42,735
36.82,736
38.2,737
37.69,738
38.38,739
39.36,740
41.22,741
42.2,742
42.22,743
42.38,744
41.53,745
42.0,746
42.93,747
42.19,748
40.88,749
41.7,750
42.36,751
42.94,752
42.21,753
41.69,754
40.41,755
40.05,756
41.47,757
40.44,758
40.56,759
38.32,760
38.38,761
38.12,762
38.26,763
37.55,764
39.5,765
38.87,766
37.54,767
36.24,768
36.59,769
36.64,770
35.32,771
35.3,772
35.45,773
34.55,774
33.83,775
34.41,776
33.47,777
32.88,778
30.9,779
31.9,780
31.77,781
31.65,782
32.58,783
32.38,784
31.69,785
32.04,786
31.55,787
31.82,788
31.81,789
31.48,790
31.85,791
33.04,792
31.42,793
30.29,794
29.58,795
28.85,796
27.47,797
26.54,798
26.87,799
27.25,800
26.41,801
26.37,802
27.31,803
26.75,804
28.45,805
28.8,806
29.95,807
29.73,808
29.67,809
29.28,810
28.68,811
29.8,812
30.91,813
30.77,814
31.03,815
29.75,816
29.14,817
27.46,818
28.24,819
25.9,820
24.36,821
23.12,822
24.78,823
25.39,824
25.65,825
27.25,826
26.3,827
26.32,828
27.41,829
27.79,830
27.12,831
25.69,832
24.94,833
25.1,834
24.42,835
24.04,836
25.16,837
26.07,838
24.53,839
25.66,840
27.06,841
27.15,842
25.99,843
26.07,844
27.04,845
27.32,846
27.76,847
28.61,848
27.13,849
27.22,850
26.69,851
26.14,852
26.2,853
25.87,854
24.98,855
25.08,856
24.51,857
23.2,858
21.08,859
23.04,860
23.28,861
22.98,862
23.75,863
25.92,864
26.27,865
26.36,866
27.46,867
27.65,868
29.55,869
28.31,870
28.67,871
29.33,872
29.59,873
31.01,874
30.85,875
31.7,876
30.97,877
62.63,878
32.07,879
32.78,880
32.41,881
34.12,882
34.94,883
35.75,884
35.21,885
36.07,886
36.48,887
37.98,888
37.3,889
37.41,890
37.85,891
39.12,892
39.03,893
39.67,894
40.48,895
43.03,896
42.54,897
43.95,898
43.34,899
43.98,900
44.5,901
44.03,902
43.85,903
42.66,904
42.31,905
42.14,906
43.03,907
44.5,908
45.36,909
43.99,910
43.55,911
44.44,912
43.82,913
44.81,914
46.02,915
45.47,916
46.85,917
47.01,918
49.23,919
48.59,920
47.16,921
45.67,922
45.77,923
45.41,924
45.65,925
46.69,926
47.3,927
50.04,928
51.3,929
51.5,930
51.74,931
50.89,932
51.24,933
50.94,934
52.02,935
51.28,936
51.27,937
152.32,938
48.48,939
48.81,940
48.7,941
49.04,942
49.81,943
50.73,944
51.01,945
52.0,946
52.16,947
51.89,948
52.3,949
52.89,950
52.0,951
52.16,952
52.33,953
52.07,954
54.06,955
53.21,956
53.77,957
52.74,958
52.61,959
54.0,960
55.05,961
55.8,962
56.87,963
58.46,964
59.27,965
60.04,966
61.27,967
59.65,968
59.54,969
59.25,970
59.33,971
60.3,972
58.28,973
58.23,974
59.88,975
59.08,976
59.01,977
58.68,978
59.07,979
58.59,980
57.86,981
58.48,982
58.4,983
58.32,984
56.82,985
56.6,986
58.66,987
58.54,988
57.31,989
55.8,990
55.51,991
55.43,992
55.15,993
56.11,994
56.34,995
56.73,996
56.84,997
57.19,998
57.32,999
59.12,1000
58.83,1001
59.51,1002
58.17,1003
60.03,1004
59.61,1005
59.16,1006
58.53,1007
57.78,1008
57.62,1009
60.07,1010
60.09,1011
61.17,1012
60.46,1013
60.59,1014
57.91,1015
57.39,1016
59.64,1017
60.26,1018
59.61,1019
60.52,1020
60.21,1021
59.37,1022
58.62,1023
59.71,1024
60.26,1025
58.98,1026
58.6,1027
59.43,1028
60.75,1029
61.88,1030
60.81,1031
59.87,1032
59.61,1033
59.42,1034
59.59,1035
60.99,1036
60.44,1037
60.57,1038
60.31,1039
58.27,1040
57.8,1041
57.41,1042
57.82,1043
58.44,1044
57.8,1045
55.68,1046
53.43,1047
52.82,1048
53.82,1049
53.22,1050
53.31,1051
55.88,1052
56.17,1053
56.38,1054
56.94,1055
56.43,1056
55.4,1057
57.59,1058
56.36,1059
56.03,1060
56.36,1061
56.72,1062
57.29,1063
57.66,1064
56.71,1065
56.14,1066
57.44,1067
56.23,1068
55.38,1069
54.31,1070
53.31,1071
54.03,1072
54.0,1073
54.37,1074
54.54,1075
54.23,1076
55.05,1077
55.95,1078
56.18,1079
54.5,1080
56.03,1081
55.94,1082
55.91,1083
55.07,1084
54.48,1085
54.21,1086
53.43,1087
53.22,1088
52.39,1089
53.94,1090
55.53,1091
56.21,1092
55.18,1093
53.46,1094
55.34,1095
54.84,1096
55.31,1097
55.44,1098
54.98,1099
53.72,1100
51.68,1101
50.54,1102
50.85,1103
49.34,1104
51.35,1105
51.01,1106
50.35,1107
49.74,1108
51.2,1109
52.51,1110
51.77,1111
52.52,1112
51.67,1113
50.79,1114
51.14,1115
50.69,1116
49.99,1117
48.94,1118
50.58,1119
50.96,1120
49.92,1121
49.7,1122
48.01,1123
47.82,1124
48.41,1125
49.92,1126
49.44,1127
49.5,1128
49.64,1129
49.54,1130
50.71,1131
51.29,1132
51.7,1133
51.73,1134
52.24,1135
50.81,1136
50.8,1137
51.46,1138
50.72,1139
51.66,1140
52.66,1141
52.4,1142
52.22,1143
52.94,1144
53.56,1145
52.66,1146
52.93,1147
53.0,1148
53.5,1149
54.35,1150
54.81,1151
55.8,1152
55.25,1153
54.45,1154
53.12,1155
52.75,1156
53.9,1157
55.04,1158
55.83,1159
56.28,1160
55.5,1161
57.69,1162
57.78,1163
58.61,1164
59.58,1165
60.95,1166
61.55,1167
63.17,1168
64.63,1169
64.59,1170
64.01,1171
63.67,1172
66.45,1173
65.74,1174
67.06,1175
65.8,1176
66.82,1177
66.13,1178
67.68,1179
68.16,1180
67.58,1181
67.13,1182
67.67,1183
65.69,1184
66.22,1185
64.92,1186
62.34,1187
61.98,1188
62.63,1189
61.38,1190
62.06,1191
62.57,1192
62.06,1193
61.22,1194
60.42,1195
59.56,1196
60.2,1197
60.13,1198
61.05,1199
61.19,1200
61.29,1201
63.11,1202
62.18,1203
62.47,1204
62.45,1205
62.86,1206
62.28,1207
61.91,1208
60.64,1209
61.54,1210
62.03,1211
61.59,1212
62.1,1213
60.27,1214
61.41,1215
61.83,1216
61.11,1217
60.91,1218
59.88,1219
59.76,1220
59.67,1221
59.22,1222
60.31,1223
60.31,1224
60.53,1225
58.4,1226
58.14,1227
59.21,1228
58.77,1229
58.23,1230
57.97,1231
56.98,1232
56.49,1233
55.57,1234
55.68,1235
56.42,1236
57.9,1237
58.49,1238
59.42,1239
60.17,1240
60.78,1241
58.94,1242
56.61,1243
59.21,1244
61.12,1245
62.59,1246
62.82,1247
62.56,1248
61.49,1249
61.57,1250
61.53,1251
60.6,1252
58.86,1253
59.91,1254
59.28,1255
59.33,1256
59.48,1257
57.97,1258
58.27,1259
58.67,1260
57.79,1261
57.07,1262
58.87,1263
59.04,1264
58.53,1265
58.15,1266
58.57,1267
58.4,1268
58.32,1269
58.06,1270
57.6,1271
57.41,1272
57.13,1273
57.61,1274
58.38,1275
59.15,1276
59.83,1277
59.19,1278
59.36,1279
58.38,1280
58.46,1281
57.69,1282
57.69,1283
57.61,1284
56.41,1285
56.22,1286
55.53,1287
54.5,1288
55.68,1289
53.88,1290
53.18,1291
52.04,1292
52.4,1293
50.29,1294
49.58,1295
49.65,1296
50.02,1297
49.79,1298
48.23,1299
47.33,1300
48.11,1301
46.47,1302
46.32,1303
47.17,1304
47.63,1305
48.72,1306
47.21,1307
46.96,1308
47.65,1309
46.87,1310
47.3,1311
47.49,1312
46.66,1313
46.37,1314
45.38,1315
44.46,1316
45.0,1317
42.78,1318
42.65,1319
41.77,1320
40.82,1321
42.44,1322
42.72,1323
42.77,1324
42.74,1325
42.96,1326
42.35,1327
43.83,1328
42.72,1329
42.78,1330
41.8,1331
43.01,1332
42.5,1333
42.91,1334
42.8,1335
42.56,1336
42.81,1337
42.86,1338
43.1,1339
43.85,1340
43.46,1341
43.87,1342
43.84,1343
43.88,1344
43.36,1345
43.2,1346
42.76,1347
43.9,1348
43.76,1349
42.92,1350
42.38,1351
42.6,1352
43.0,1353
41.65,1354
42.5,1355
43.43,1356
42.44,1357
43.02,1358
45.34,1359
45.8,1360
45.66,1361
44.96,1362
44.88,1363
44.31,1364
45.71,1365
44.93,1366
43.64,1367
42.93,1368
44.0,1369
43.38,1370
40.4,1371
41.02,1372
40.5,1373
38.2,1374
39.03,1375
39.05,1376
38.75,1377
39.45,1378
40.45,1379
39.72,1380
38.99,1381
36.71,1382
36.52,1383
37.54,1384
36.79,1385
35.8,1386
35.43,1387
33.97,1388
33.39,1389
34.49,1390
34.45,1391
35.04,1392
34.64,1393
36.61,1394
38.59,1395
39.5,1396
39.19,1397
39.39,1398
38.65,1399
39.87,1400
41.66,1401
40.28,1402
41.56,1403
41.32,1404
41.7,1405
41.53,1406
40.45,1407
41.24,1408
42.21,1409
42.07,1410
41.92,1411
42.98,1412
43.76,1413
44.07,1414
44.59,1415
44.08,1416
43.3,1417
42.4,1418
42.81,1419
42.27,1420
42.54,1421
43.25,1422
44.45,1423
44.5,1424
45.34,1425
45.16,1426
43.96,1427
43.9,1428
43.49,1429
43.43,1430
44.62,1431
22.98,1432
43.98,1433
47.4,1434
46.69,1435
47.87,1436
48.1,1437
48.63,1438
47.01,1439
46.39,1440
45.69,1441
45.36,1442
47.97,1443
48.06,1444
48.64,1445
49.58,1446
50.29,1447
51.43,1448
51.67,1449
52.49,1450
51.32,1451
51.14,1452
51.77,1453
52.0,1454
50.37,1455
50.49,1456
49.95,1457
49.05,1458
48.81,1459
47.76,1460
48.73,1461
48.4,1462
49.92,1463
52.11,1464
51.28,1465
52.56,1466
52.8,1467
54.05,1468
56.16,1469
57.04,1470
57.79,1471
58.17,1472
58.73,1473
59.35,1474
58.5,1475
58.64,1476
59.86,1477
59.77,1478
60.03,1479
58.54,1480
59.69,1481
61.15,1482
59.75,1483
58.85,1484
58.11,1485
58.73,1486
57.55,1487
57.82,1488
58.44,1489
58.1,1490
58.81,1491
59.09,1492
60.2,1493
59.18,1494
59.13,1495
59.25,1496
58.47,1497
57.0,1498
55.59,1499
54.94,1500
53.63,1501
54.8,1502
55.43,1503
57.25,1504
57.89,1505
57.63,1506
58.3,1507
58.98,1508
59.54,1509
58.11,1510
56.08,1511
56.22,1512
56.54,1513
56.73,1514
56.31,1515
54.52,1516
53.41,1517
52.93,1518
53.27,1519
53.2,1520
53.63,1521
52.47,1522
52.16,1523
53.06,1524
53.36,1525
51.67,1526
52.84,1527
52.48,1528
52.87,1529
53.88,1530
55.0,1531
55.85,1532
55.29,1533
54.01,1534
54.47,1535
55.04,1536
53.92,1537
55.47,1538
54.83,1539
54.63,1540
54.62,1541
54.93,1542
55.22,1543
55.87,1544
57.47,1545
57.88,1546
57.02,1547
55.45,1548
55.51,1549
57.09,1550
56.68,1551
55.03,1552
54.01,1553
53.88,1554
53.11,1555
55.93,1556
57.68,1557
55.88,1558
52.98,1559
50.21,1560
49.27,1561
49.87,1562
49.92,1563
49.49,1564
49.32,1565
48.33,1566
47.15,1567
46.09,1568
45.38,1569
46.41,1570
45.74,1571
44.39,1572
45.62,1573
45.87,1574
45.74,1575
44.89,1576
44.27,1577
44.92,1578
46.79,1579
47.59,1580
47.87,1581
48.08,1582
46.55,1583
47.29,1584
48.17,1585
45.5,1586
43.1,1587
44.57,1588
45.7,1589
46.51,1590
46.37,1591
46.64,1592
48.98,1593
49.17,1594
48.75,1595
48.35,1596
48.88,1597
46.34,1598
46.64,1599
47.54,1600
46.25,1601
45.75,1602
45.09,1603
45.68,1604
47.34,1605
46.74,1606
47.53,1607
47.47,1608
49.84,1609
50.89,1610
49.53,1611
51.39,1612
51.56,1613
52.9,1614
53.16,1615
53.15,1616
54.04,1617
52.76,1618
52.93,1619
54.1,1620
55.98,1621
57.58,1622
57.81,1623
57.28,1624
57.42,1625
59.35,1626
59.89,1627
60.22,1628
58.84,1629
59.01,1630
57.72,1631
56.52,1632
56.41,1633
54.88,1634
54.14,1635
55.07,1636
53.85,1637
54.24,1638
55.35,1639
56.54,1640
55.23,1641
52.85,1642
51.44,1643
53.25,1644
54.59,1645
53.93,1646
54.37,1647
54.21,1648
53.98,1649
53.74,1650
53.64,1651
53.37,1652
55.5,1653
55.29,1654
54.12,1655
55.62,1656
53.91,1657
54.42,1658
55.84,1659
57.28,1660
59.0,1661
59.78,1662
60.55,1663
59.16,1664
60.46,1665
59.37,1666
58.33,1667
56.38,1668
56.09,1669
55.53,1670
55.91,1671
55.47,1672
55.15,1673
55.49,1674
56.63,1675
57.44,1676
57.91,1677
58.9,1678
59.4,1679
58.69,1680
58.56,1681
58.56,1682
58.35,1683
58.6,1684
60.32,1685
57.77,1686
57.98,1687
57.99,1688
56.49,1689
57.39,1690
59.22,1691
60.13,1692
59.56,1693
60.32,1694
59.77,1695
60.61,1696
59.71,1697
59.13,1698
57.92,1699
58.25,1700
57.9,1701
58.86,1702
59.28,1703
58.28,1704
58.81,1705
57.9,1706
58.08,1707
57.66,1708
58.06,1709
58.17,1710
59.25,1711
59.97,1712
60.55,1713
61.89,1714
61.84,1715
61.13,1716
61.67,1717
61.9,1718
61.79,1719
62.89,1720
63.41,1721
63.25,1722
64.07,1723
65.3,1724
66.39,1725
65.99,1726
66.8,1727
66.09,1728
68.88,1729
68.02,1730
68.03,1731
68.48,1732
68.29,1733
67.31,1734
67.82,1735
67.12,1736
67.22,1737
66.56,1738
67.63,1739
66.49,1740
67.9,1741
67.21,1742
67.25,1743
67.53,1744
67.4,1745
69.78,1746
70.13,1747
70.62,1748
72.2,1749
70.92,1750
69.3,1751
67.05,1752
65.66,1753
66.14,1754
66.47,1755
67.12,1756
67.17,1757
67.05,1758
65.23,1759
63.43,1760
62.65,1761
63.07,1762
63.07,1763
63.35,1764
63.22,1765
62.53,1766
64.69,1767
63.34,1768
64.25,1769
63.09,1770
62.18,1771
61.46,1772
61.09,1773
61.27,1774
60.2,1775
60.86,1776
61.39,1777
63.07,1778
64.03,1779
64.82,1780
64.7,1781
66.51,1782
65.67,1783
65.0,1784
64.72,1785
63.23,1786
63.07,1787
62.73,1788
61.89,1789
60.59,1790
61.11,1791
61.39,1792
61.77,1793
60.93,1794
59.16,1795
61.11,1796
60.21,1797
59.37,1798
58.96,1799
57.16,1800
56.4,1801
56.69,1802
57.26,1803
57.12,1804
56.58,1805
56.5,1806
57.83,1807
137.46,1808
58.49,1809
60.05,1810
60.74,1811
60.81,1812
61.19,1813
60.63,1814
62.98,1815
62.08,1816
62.81,1817
63.92,1818
64.31,1819
62.81,1820
60.93,1821
60.59,1822
63.22,1823
63.11,1824
63.92,1825
64.63,1826
65.64,1827
64.83,1828
65.33,1829
67.07,1830
66.3,1831
65.34,1832
64.02,1833
63.75,1834
64.93,1835
63.91,1836
63.39,1837
63.82,1838
66.12,1839
67.06,1840
67.31,1841
68.23,1842
68.68,1843
67.29,1844
67.03,1845
67.17,1846
67.2,1847
67.98,1848
67.8,1849
68.02,1850
68.8,1851
68.84,1852
67.82,1853
67.83,1854
68.98,1855
69.43,1856
68.99,1857
69.52,1858
69.8,1859
70.09,1860
70.39,1861
70.63,1862
70.69,1863
70.68,1864
70.88,1865
72.92,1866
72.88,1867
73.15,1868
73.45,1869
74.41,1870
73.13,1871
71.82,1872
71.54,1873
71.59,1874
71.44,1875
72.53,1876
71.18,1877
74.07,1878
75.37,1879
75.28,1880
74.08,1881
74.68,1882
74.35,1883
74.18,1884
73.95,1885
74.18,1886
73.11,1887
74.17,1888
74.03,1889
75.08,1890
72.57,1891
72.71,1892
71.06,1893
68.56,1894
68.24,1895
66.84,1896
66.94,1897
68.59,1898
69.64,1899
68.04,1900
68.64,1901
67.52,1902
65.99,1903
64.34,1904
64.29,1905
65.91,1906
65.51,1907
65.31,1908
66.0,1909
65.79,1910
65.65,1911
65.59,1912
66.08,1913
66.5,1914
65.56,1915
64.1,1916
63.69,1917
61.86,1918
61.2,1919
60.11,1920
60.96,1921
61.17,1922
62.19,1923
62.38,1924
61.69,1925
61.08,1926
60.2,1927
60.04,1928
59.92,1929
60.63,1930
60.36,1931
59.26,1932
59.11,1933
58.69,1934
59.35,1935
58.93,1936
58.56,1937
59.19,1938
57.3,1939
58.99,1940
60.08,1941
57.96,1942
57.92,1943
58.8,1944
59.64,1945
57.95,1946
58.18,1947
58.02,1948
57.7,1949
58.21,1950
58.2,1951
58.82,1952
59.96,1953
60.19,1954
60.79,1955
60.28,1956
59.79,1957
60.08,1958
59.67,1959
60.86,1960
60.04,1961
59.45,1962
58.29,1963
58.62,1964
60.01,1965
60.99,1966
60.27,1967
61.01,1968
62.46,1969
62.25,1970
61.74,1971
61.37,1972
60.27,1973
59.47,1974
60.34,1975
60.39,1976
61.95,1977
61.32,1978
63.75,1979
61.72,1980
63.98,1981
66.43,1982
65.94,1983
65.91,1984
66.61,1985
64.07,1986
62.42,1987
63.07,1988
62.45,1989
63.62,1990
62.24,1991
61.53,1992
60.86,1993
58.54,1994
59.89,1995
58.28,1996
57.3,1997
56.58,1998
57.72,1999
57.05,2000
57.95,2001
57.81,2002
58.05,2003
59.44,2004
57.86,2005
58.12,2006
58.06,2007
57.83,2008
58.03,2009
58.16,2010
58.86,2011
59.3,2012
59.33,2013
57.74,2014
55.72,2015
55.59,2016
55.11,2017
53.7,2018
53.3,2019
53.88,2020
53.75,2021
54.2,2022
53.85,2023
54.78,2024
55.3,2025
56.04,2026
56.28,2027
57.59,2028
56.0,2029
57.13,2030
55.77,2031
55.56,2032
56.75,2033
56.92,2034
57.19,2035
57.28,2036
55.86,2037
55.84,2038
58.86,2039
59.88,2040
59.15,2041
58.2,2042
57.61,2043
57.8,2044
58.75,2045
58.47,2046
60.66,2047
61.49,2048
61.33,2049
62.91,2050
62.43,2051
61.34,2052
61.87,2053
63.12,2054
63.2,2055
60.94,2056
62.04,2057
62.0,2058
62.12,2059
62.55,2060
60.99,2061
61.41,2062
60.47,2063
-73.3,2064
62.82,2065
64.99,2066
64.5,2067
64.47,2068
63.91,2069
64.06,2070
66.55,2071
66.84,2072
67.28,2073
67.66,2074
67.13,2075
68.28,2076
71.28,2077
71.16,2078
71.52,2079
71.32,2080
72.52,2081
73.21,2082
71.39,2083
72.6,2084
73.63,2085
73.98,2086
76.51,2087
76.69,2088
78.63,2089
77.56,2090
77.63,2091
77.31,2092
78.96,2093
80.02,2094
81.04,2095
82.26,2096
84.04,2097
83.2,2098
83.61,2099
83.22,2100
81.99,2101
83.31,2102
82.1,2103
81.65,2104
83.5,2105
82.3,2106
83.61,2107
82.41,2108
82.71,2109
81.27,2110
80.88,2111
80.91,2112
80.43,2113
80.89,2114
80.39,2115
79.86,2116
78.52,2117
80.47,2118
79.42,2119
81.12,2120
81.09,2121
83.0,2122
83.99,2123
84.71,2124
83.17,2125
82.96,2126
82.52,2127
83.39,2128
83.19,2129
82.76,2130
82.98,2131
82.28,2132
84.05,2133
83.92,2134
